transaction_id,transaction_date,department,cost_center,account_code,transaction_type,amount,currency,status
TXN-1001,2024-01-05,Operations,CC-100,4010,Expense,12500.0,USD,Posted
TXN-1002,2024-01-07,Finance,CC-200,4020,Expense,8750.0,USD,Posted
TXN-1003,2024-01-10,Marketing,CC-300,5010,Expense,3200.0,USD,Posted
TXN-1004,2024-01-12,Operations,CC-100,4010,Expense,6400.0,USD,Posted
TXN-1005,2024-01-15,HR,CC-400,6010,Expense,4100.0,USD,Posted
TXN-1006,2024-01-18,Finance,CC-200,4020,Revenue,15000.0,USD,Posted
TXN-1007,2024-01-20,Marketing,CC-300,5010,Expense,2800.0,USD,Posted
TXN-1008,2024-01-22,Operations,CC-100,4010,Expense,9300.0,USD,Posted
TXN-1009,2024-01-25,IT,CC-500,7010,Expense,11200.0,USD,Posted
TXN-1010,2024-01-28,Finance,CC-200,4020,Expense,5600.0,USD,Posted
TXN-1011,2024-01-30,HR,CC-400,6010,Expense,3750.0,USD,Posted
TXN-1012,2024-02-02,Operations,CC-100,4010,Expense,7800.0,USD,Posted
TXN-1013,2024-02-05,Marketing,CC-300,5010,Expense,4500.0,USD,Posted
TXN-1014,2024-02-08,IT,CC-500,7010,Expense,6200.0,USD,Posted
TXN-1015,2024-02-10,Finance,CC-200,4020,Revenue,18500.0,USD,Posted
TXN-1016,2024-02-12,Operations,CC-100,4010,Expense,5100.0,USD,Posted
TXN-1017,2024-02-15,HR,CC-400,6010,Expense,2900.0,USD,Posted
TXN-1018,2024-02-18,Marketing,CC-300,5010,Expense,3600.0,USD,Posted
TXN-1019,2024-02-20,IT,CC-500,7010,Expense,8400.0,USD,Posted
TXN-1020,2024-02-25,Finance,CC-200,4020,Expense,4300.0,USD,Posted
